South Africa,Institution,Local ID,GRID,ROR,Wikidata,ISNI,Year
,Cape Peninsula University of Technology,H01,grid.411921.e,056e9h402,Q1034468,10177134X,
,University of Cape Town,H02,grid.7836.a,03p74gp79,Q951305,419371151,
,Central University of Technology Free State,H03,grid.428369.2,033z08192,Q1054047,102453319,
,Durban University of Technology,H04,grid.412114.3,0303y7a51,Q926710,93609165,
,University of Fort Hare,H05,grid.413110.6,0184vwv17,Q2005511,121528048,
,University of the Free State,H06,grid.412219.d,009xwd568,Q1678733,12284638X,
,University of Johannesburg,H07,grid.412988.e,04z6c2n17,Q1972050,12284638X,
,University of Kwazulu-Natal,H08,grid.16463.36,04qzfn040,Q727516,107234123,
,University of Limpopo,H09,grid.411732.2,017p87168,Q45612,121052799,
,Nelson Mandela University,H10,grid.412139.c,03r1jm528,Q1331614,121913608,
,North-West University,H11,grid.25881.36,010f1sq29,Q1998811,97692525,
,University of Pretoria,H12,grid.49697.35,00g0p6g84,Q604444,97692525,
,Rhodes University,H13,grid.91354.3a,016sewp10,Q377757,23641300,
,University of South Africa,H14,grid.412801.e,048cwvf49,Q677993,6103238,
,University of Stellenbosch,H15,grid.11956.3a,05bk57929,Q1066492,12214904X,
,Tshwane University of Technology,H16,grid.412810.e,037mrss42,Q1147874,1091328,
,University of Venda,H17,grid.412964.c,0338xea48,Q892543,6103705,
,Vaal University of Technology,H18,grid.442351.5,05ey7mm31,Q3346754,121508805,
,Walter Sisulu University,H19,grid.412870.8,02svzjn28,Q248919,104477939,
,University of the Western Cape,H20,grid.8974.2,00h2vm590,Q475700,2156 8226,
,University of the Witwatersrand,H21,grid.11951.3d,05bk57929,Q534643,4 1937 1135,
,University of Zululand,H22,grid.442325.6,03v8ter60,Q2496192,1 0723 051X,
,"Sol Plaatje University, Northern Cape",H23,grid.449297.5,01kn7bc28,Q17090884,4 5987 0051,
,University of Mpumalanga,H24,grid.449985.d,02vxcq142,Q14979352,4 4908 0179,
,Mangosuthu University of Technology,H25,grid.429399.c,054r97095,Q6588080,406304697,
,Sefako Makgatho Health Sciences University,H26,grid.459957.3,003hsr719,Q19843419,8637 3780,
